 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: São Paulo
Período:1994-2019
"Imuno";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";110,55;111,18;132,00;131,59;128,76;110,70;111,03;108,99;108,87;109,14;106,30;104,46;101,67;104,30;102,51;101,55;103,72;104,01;103,65;103,46;102,20;94,33;100,51;99,08;50,70;105,87
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;91,83;92,51;89,81;91,37;88,32;47,15;71,69
"061 Rotavírus Humano";...;...;...;...;-;-;-;-;-;...;...;56,19;86,54;86,87;89,57;89,24;93,95;91,56;97,51;93,85;97,00;90,32;90,16;91,10;53,12;62,77
"053 Meningococo C";...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;10,79;122,05;98,72;102,17;97,36;98,62;90,42;89,28;87,87;54,07;72,57
"073 Hepatite B";-;-;-;2,79;112,32;97,24;96,00;93,82;98,29;95,86;97,17;97,07;96,10;95,05;97,76;95,63;99,28;97,44;104,37;99,58;100,68;110,04;89,43;98,61;59,56;80,97
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;23,96;97,23;95,46;98,36;88,48;86,67;90,11;49,04;78,84
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;42,00;86,63;89,55;95,81;100,63;99,93;93,58;95,24;94,34;54,44;85,33
"074 Poliomielite";97,00;101,36;106,69;114,70;112,18;102,35;103,34;95,89;98,31;98,19;96,74;99,93;98,67;96,60;99,10;96,60;100,30;96,44;98,95;95,73;99,68;83,84;87,21;91,10;52,48;96,95
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,94;0,83;0,13;0,65
"006 Febre Amarela";-;-;-;5,25;11,98;8,55;7,36;8,70;10,08;10,17;10,50;11,50;11,82;13,43;17,18;19,21;20,45;20,45;20,45;19,56;19,70;18,63;23,46;58,83;45,08;15,52
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;67,84;102,42;63,43;80,29;83,05;53,77;64,42
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;96,22;91,50;92,71;86,84;78,32;80,16;51,79;82,52
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,95;94,83;94,42;80,76;81,35;80,43;57,29;84,28
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;97,18;88,91;90,27;77,72;81,56;74,56;48,55;79,84
"021 Tríplice Viral  D1";...;...;...;...;...;105,38;105,13;105,13;119,88;104,30;102,04;101,19;100,23;96,68;99,13;94,91;100,34;99,54;103,37;105,02;97,91;92,96;91,26;90,38;60,19;104,99
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;75,71;95,89;92,43;77,73;87,14;81,41;51,69;80,31
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;37,63;98,07;94,64;80,97;21,48;36,80;24,28;56,33
"075 DTP";99,83;96,03;98,02;119,79;110,42;100,35;101,77;33,08;0,73;99,67;97,95;98,58;97,53;95,12;97,20;95,80;98,65;94,72;100,16;96,84;99,76;88,94;87,33;90,45;49,14;89,96
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,90;...;2,38;2,38;1,86;1,00;2,08
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;92,97;89,23;91,84;59,59;76,84;68,08;37,75;73,74
"018 Sarampo";97,71;95,20;134,43;124,72;115,24;108,05;107,04;100,37;3,35;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;98,54
"009 Haemophilus influenzae b";-;-;-;1,03;1,37;115,43;101,43;33,01;2,58;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;29,24
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;47,48;42,80;59,91;24,23;28,59;41,16;27,16;38,70
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,41;12,38;61,09;26,42;35,90;54,68;35,86;32,58
"Total";57,87;57,68;67,31;71,41;89,26;83,12;81,68;64,40;49,28;80,62;80,37;77,80;81,64;81,28;83,88;71,86;91,71;81,64;73,80;78,19;89,37;70,24;76,48;81,25;50,95;74,61
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

