 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Imuno e Ano
Unidade da Federação: São Paulo
Período:1994-2019
"Imuno";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";735265;739514;795671;793238;801618;759875;701361;678785;664327;674353;658767;630269;605155;627559;613416;607038;620629;622359;632503;637903;624356;590146;628827;594669;310170;16347773
"099 Hepatite B  em crianças até 30 dias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;566209;565192;561873;571677;530086;288467;3083504
"061 Rotavírus Humano";-;-;-;-;-;-;-;-;-;-;-;339026;515076;522691;535972;534019;562206;547863;595030;578655;592573;565084;564078;546797;324975;7324045
"053 Meningococo C";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63632;730347;590731;623472;600305;602510;565712;558577;527388;330790;5193464
"073 Hepatite B";-;-;-;16807;699282;667496;606430;584346;599744;592277;602192;585658;572003;571913;585002;572223;594053;583085;636915;614005;615084;688424;559498;591826;364416;12502679
"080 Penta";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;143369;593322;588613;600910;553586;542263;540838;300031;3862932
"012 Pneumocócica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;251310;518358;535842;584660;620505;610492;585454;595872;566231;333075;5201799
"074 Poliomielite";645143;674165;643143;691389;698365;702565;652826;597184;599889;606666;599478;602946;587266;581223;592976;578068;600168;577072;603850;590235;608995;524536;545593;546801;321065;14971607
"100 Poliomielite 4 anos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3286;2722;415;6423
"006 Febre Amarela";-;-;-;31646;74613;58721;46493;54184;61521;62848;65079;69378;70366;80821;102804;114673;122354;122398;124820;120629;120323;115491;146452;353112;275801;2394527
"096 Hepatite A";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;418306;625722;396825;502314;498443;328982;2770592
"091 Pneumocócica(1º ref)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;587137;564214;566423;543164;489970;480974;316814;3548696
"092 Meningococo C (1º ref)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;615997;584689;576854;505225;508863;482746;350474;3624848
"093 Poliomielite(1º ref)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;593034;548203;551508;486179;510175;447507;296984;3433590
"021 Tríplice Viral  D1";-;-;-;-;758311;723392;721664;664127;746606;644411;632327;610527;596559;581728;593206;567951;600450;595663;630776;647565;598150;581581;570938;542486;368221;12976639
"098 Tríplice Viral  D2";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;462032;591245;564656;486323;545158;488599;316256;3454269
"097 Tetra Viral(SRC+VZ)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;229640;604720;578198;506596;134363;220883;148568;2422968
"075 DTP";663982;638748;590873;722083;687411;688871;642869;206050;4480;615809;606995;594758;580521;572337;581636;573280;590306;566786;611188;597120;609450;556464;546330;542883;300653;13891883
"102 DTP REF (4 e 6 anos)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10601;8446;7635;25191;25674;19790;10639;107976
"103 Dupla Adulto (dt)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1227122;1378925;1026784;3632831
"095 Tríplice Bacteriana(DTP)(1º ref)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;567321;550164;561091;372807;480770;408630;230979;3171762
"018 Sarampo";649920;633200;810336;751836;717445;741685;676195;625130;20415;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5626162
"009 Haemophilus influenzae b";-;-;-;6216;8505;792410;640777;205589;15769;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1669266
"094 Dupla adulto e tríplice acelular gestante";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289721;263922;365979;151585;178863;247017;163039;1660126
"003 dTpa gestante";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14724;76328;373155;165304;224624;328208;215241;1397584
"Total";2694310;2685627;2840023;3013215;4445550;5135015;4688615;3615395;2712751;3196364;3164838;3432562;3526946;3538272;3605012;3862194;4938871;4885168;9006743;10371981;10919256;9527550;10661287;10887561;6922839;134277945
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

